kibana  | [2026-01-09T18:12:52.785+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Updating indices - .kibana-siem-rule-migrations-rules-*
kibana  | [2026-01-09T18:12:52.792+00:00][INFO ][plugins.securitySolution.siemDashboardMigrations] Updating indices - .kibana-siem-dashboard-migrations-dashboards-*
kibana  | [2026-01-09T18:12:52.809+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Creating index - .kibana-siem-rule-migrations-integrations
kibana  | [2026-01-09T18:12:52.814+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Updating indices - .kibana-siem-rule-migrations-resources-*
kibana  | [2026-01-09T18:12:52.867+00:00][INFO ][plugins.eventLog] Creating datastream .kibana-event-log-ds
kibana  | [2026-01-09T18:12:52.927+00:00][INFO ][plugins.securitySolution.siemDashboardMigrations] Updating indices - .kibana-siem-dashboard-migrations-migrations-*
kibana  | [2026-01-09T18:12:52.945+00:00][INFO ][plugins.securitySolution.siemDashboardMigrations] Updating indices - .kibana-siem-dashboard-migrations-resources-*
kibana  | [2026-01-09T18:12:52.964+00:00][INFO ][plugins.elasticAssistant.service] Updating data streams - .kibana-elastic-ai-assistant-conversations-*
kibana  | [2026-01-09T18:12:52.984+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Updating indices - .kibana-siem-rule-migrations-migrations-*
kibana  | [2026-01-09T18:12:53.057+00:00][WARN ][plugins.elasticAssistant.service] Error initializing AI assistant resources: Platinum, Enterprise or trial license needed
kibana  | [2026-01-09T18:12:53.108+00:00][INFO ][plugins.fleet.fleet:check-deleted-files-task:1.0.1] [runTask()] started
kibana  | [2026-01-09T18:12:53.135+00:00][INFO ][plugins.fleet] Running Fleet Usage telemetry send task
kibana  | [2026-01-09T18:12:53.346+00:00][INFO ][plugins.fleet.fleet:check-deleted-files-task:1.0.1] [runTask()] ended: no files to process
kibana  | [2026-01-09T18:12:53.364+00:00][WARN ][plugins.fleet] Error while trying to load prerelease flag from settings, defaulting to false
kibana  | [2026-01-09T18:12:53.585+00:00][INFO ][plugins.fleet.fleet:auto-install-content-packages-task:1.0.3] [AutoInstallContentPackagesTask] Fetched content packages discovery map: {"kubeletstatsreceiver.otel":{"packages":[{"name":"kubernetes_otel","version":"1.4.0"}]},"k8sobjectsreceiver.otel":{"packages":[{"name":"kubernetes_otel","version":"1.4.0"}]},"k8seventsreceiver.otel":{"packages":[{"name":"kubernetes_otel","version":"1.4.0"}]},"k8sclusterreceiver.otel":{"packages":[{"name":"kubernetes_otel","version":"1.4.0"}]}}
kibana  | [2026-01-09T18:12:53.612+00:00][INFO ][plugins.fleet.fleet:auto-install-content-packages-task:1.0.3] [AutoInstallContentPackagesTask] Found datasets with data:
kibana  | [2026-01-09T18:12:53.768+00:00][INFO ][plugins.fleet.lock-manager] Component template .kibana_locks-component created or updated successfully.
kibana  | [2026-01-09T18:12:53.798+00:00][INFO ][plugins.ecsDataQualityDashboard] Updating data streams - .kibana-data-quality-dashboard-results-*
kibana  | [2026-01-09T18:12:53.803+00:00][INFO ][plugins.securitySolution.siemRuleMigrations] Creating index - .kibana-siem-rule-migrations-prebuiltrules
kibana  | [2026-01-09T18:12:53.823+00:00][INFO ][plugins.securitySolution] Updating data streams - .edr-workflow-insights-*
kibana  | [2026-01-09T18:12:53.829+00:00][INFO ][plugins.observabilityAIAssistant.lock-manager] Index template .kibana_locks-index-template created or updated successfully.
kibana  | [2026-01-09T18:12:54.235+00:00][INFO ][plugins.fleet.fleet:upgrade-agentless-deployments-task:1.0.0] [runTask()] started
kibana  | [2026-01-09T18:12:54.276+00:00][INFO ][plugins.fleet.fleet:policy-revisions-cleanup-task:1.0.0] [FleetPolicyRevisionsCleanupTask] No policies found with more than 10 revisions. Exiting cleanup task.
kibana  | [2026-01-09T18:12:54.287+00:00][INFO ][plugins.fleet.fleet:upgrade-agentless-deployments-task:1.0.0] [[UpgradeAgentlessDeploymentsTask]] running task to upgrade agentless deployments with kuery: fleet-agent-policies.supports_agentless: true
kibana  | [2026-01-09T18:12:54.324+00:00][INFO ][plugins.fleet.fleet:upgrade-agentless-deployments-task:1.0.0] [UpgradeAgentlessDeploymentsTask] [runTask()] finished
kibana  | [2026-01-09T18:12:54.873+00:00][INFO ][plugins.fleet.lock-manager] Index template .kibana_locks-index-template created or updated successfully.
kibana  | [2026-01-09T18:12:55.105+00:00][INFO ][plugins.slo.lock-manager] Index .kibana_locks-000001 created successfully.
kibana  | [2026-01-09T18:12:55.280+00:00][INFO ][plugins.observabilityAIAssistant] Knowledge base index does not exist. Aborting updating index assets
kibana  | [2026-01-09T18:12:55.718+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task.configuration] Updating sender channels configuration
kibana  | [2026-01-09T18:12:56.215+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task] Running ingest stats task
